"SKU","产品名称","材质","提示词 (Prompt)"
"titanium-3d-printed-ergonomic-mouse","Titanium 3D-Printed Ergonomic Mouse","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium 3D-Printed Ergonomic Mouse component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-acetabular-cup","Titanium Acetabular Cup","Ti-6Al-4V ELI (ASTM F136)","High-quality 3D product rendering of a Titanium Acetabular Cup component, precision CNC machined from Ti-6Al-4V ELI (ASTM F136) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-acoustic-waveguide-extension","Titanium Acoustic Waveguide Extension","Grade 5 Ti-6Al-4V (Triaxially Forged)","High-quality 3D product rendering of a Titanium Acoustic Waveguide Extension component, precision CNC machined from Grade 5 Ti-6Al-4V (Triaxially Forged) , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-action-camera-lens-bezel","Titanium Action Camera Lens Bezel","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Action Camera Lens Bezel component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-air-sparger-pipe","Titanium Air Sparger Pipe","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Air Sparger Pipe component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-anode-basket-bottom-plate","Titanium Anode Basket Bottom Plate","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Anode Basket Bottom Plate component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-anode-basket-expanded-mesh","Titanium Anode Basket (Expanded Mesh)","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Anode Basket (Expanded Mesh) component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-anode-basket-hook","Titanium Anode Basket Hook","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Anode Basket Hook component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-anode-basket-stiffener-rib","Titanium Anode Basket Stiffener Rib","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Anode Basket Stiffener Rib component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-anti-roll-bar-droplink","Titanium Anti-Roll Bar Droplink","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Anti-Roll Bar Droplink component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-auv-propeller-shaft","Titanium AUV Propeller Shaft","Grade 5 Ti-6Al-4V ELI","High-quality 3D product rendering of a Titanium AUV Propeller Shaft component, precision CNC machined from Grade 5 Ti-6Al-4V ELI , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ball-valve-stem","Titanium Ball Valve Stem","Grade 2 CP-Ti","High-quality 3D product rendering of a Titanium Ball Valve Stem component, precision CNC machined from Grade 2 CP-Ti , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-ballistic-armor-plate","Titanium Ballistic Armor Plate","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Ballistic Armor Plate component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-bell-crank-rocker-arm","Titanium Bell Crank Rocker Arm","Grade 5 Ti-6Al-4V","High-quality 3D product rendering of a Titanium Bell Crank Rocker Arm component, precision CNC machined from Grade 5 Ti-6Al-4V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
"titanium-bleed-air-duct","Titanium Bleed Air Duct","Grade 9 Ti-3Al-2.5V","High-quality 3D product rendering of a Titanium Bleed Air Duct component, precision CNC machined from Grade 9 Ti-3Al-2.5V , isolated on pure white background, studio lighting, soft shadows, photorealistic, sharp focus, professional product photography, detailed surface texture showing CNC machining marks, 8K resolution, clean aesthetic, commercial product shot"
